Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137706_South_Shetlands      19.74      6.36    0.72764      0.299604      0.301354      0.321856      0.643713
W9174_mum                19.74      5.95    0.72493      0.008230      0.037275      0.000207      0.000414
A1094_Bouvetoya          19.95      5.44    0.69605      0.081671      0.091432      0.012159      0.024319
MIAGM13144_Marion_island      19.74      6.18    0.71941      0.477055      0.104596      0.070192      0.140385
CI38_Crozet              19.54      5.82    0.72450      0.111994      0.009490      0.000909      0.001819
KI805_Kergulen           19.44      5.31    0.69517      0.040375      0.045040      0.017857      0.035713
HI9_Heard                19.54      5.26    0.68418      0.331416      0.430556      0.264798      0.529596
MI2254_Macquarie         19.85      5.44    0.69005      0.346703      0.226258      0.153458      0.306917
Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137708_South_Shetlands      19.85      6.15    0.70814      0.479361      0.216003      0.573879      0.863076
W9168_pup                19.64      6.21    0.72532      0.148307      0.182872      0.046374      0.092749
A1097_Bouvetoya          19.95      5.59    0.68476      0.093840      0.048826      0.010490      0.020980
MIAGM13119_Marion_island      19.90      6.00    0.72599      0.205342      0.362032      0.193615      0.387231
CI5_Crozet               19.49      5.77    0.72729      0.000486      0.000199      0.000000      0.000001
KI816_Kergulen           19.59      5.15    0.69714      0.024103      0.031871      0.050746      0.101491
HI4_Heard                19.85      5.31    0.70646      0.139477      0.037061      0.005471      0.010943
MI2265_Macquarie         19.85      4.92    0.66359      0.038384      0.141990      0.060811      0.121623
Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137719_South_Shetlands      19.90      6.28    0.73476      0.003797      0.028584      0.003581      0.007162
W6535                    19.85      5.92    0.72947      0.005736      0.009344      0.000421      0.000841
A1077_Bouvetoya          19.90      5.72    0.71081      0.024953      0.012101      0.000440      0.000881
MIAGM13137_Marion_island      19.95      6.03    0.71316      0.365863      0.395264      0.171252      0.342503
CI5_Crozet               19.44      5.77    0.72279      0.000499      0.001776      0.000034      0.000068
KI816_Kergulen           19.33      5.00    0.69545      0.018737      0.003150      0.002349      0.004697
HI7_Heard                19.59      5.00    0.67858      0.181915      0.139106      0.012428      0.024856
MI2270_Macquarie         19.95      5.31    0.67604      0.264597      0.221226      0.066282      0.132564
Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137705_South_Shetlands      19.90      6.23    0.72054      0.352964      0.425024      0.246964      0.493928
W9167_mum                19.74      6.15    0.73008      0.382082      0.089290      0.040890      0.081780
BI7_Bouvetoya            19.90      5.74    0.71659      0.489732      0.096402      0.055661      0.111322
MIAGM13135_Marion_island      20.00      5.90    0.70054      0.376088      0.375310      0.186376      0.372752
CI40_Crozet              19.54      5.74    0.71180      0.039094      0.034213      0.000386      0.000771
KI816_Kergulen           19.38      4.97    0.68497      0.030839      0.012585      0.038347      0.076694
HI9_Heard                19.59      5.08    0.66847      0.476422      0.364834      0.316915      0.633830
MI1680_Macquarie         19.95      5.49    0.70276      0.141216      0.025506      0.002722      0.005443
Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137722_South_Shetlands      19.85      6.33    0.74007      0.415431      0.357807      0.352130      0.704261
W6531/31                 19.64      5.64    0.71201      0.023404      0.002774      0.000070      0.000141
A1099_Bouvetoya          19.85      5.72    0.71804      0.090598      0.022541      0.001268      0.002536
MIAGM13138_Marion_island      19.90      6.15    0.72145      0.026270      0.071979      0.010732      0.021463
CI39_Crozet              19.59      5.74    0.71590      0.004179      0.014126      0.002848      0.005696
KI810_Kergulen           19.33      5.15    0.69617      0.066001      0.050142      0.021425      0.042850
HI9_Heard                19.74      5.38    0.68097      0.250752      0.324325      0.194232      0.388464
MI2253_Macquarie         19.95      5.44    0.69479      0.100055      0.087801      0.024519      0.049038
