sampleID	cluster1	cluster2
1802_Bouvet	0.1412	0.8588
MA31_Marion	0.998	0.002
MA33_Marion	0.998	0.002
MA34_Marion	0.999	0.001
MA35_Marion	0.999	0.001
MA36_Marion	0.999	0.001
MA41_Marion	0.999	0.001
MA42_Marion	0.998	0.002
MA43_Marion	0.998	0.002
MA44_Marion	0.994	0.006
MA45_Marion	0.998	0.002
MA46_Marion	0.999	0.001
MA47_Marion	0.999	0.001
MA48_Marion	0.9981	0.0019
MA49_Marion	0.9916	0.0084
MA51_Marion	0.996	0.004
MA52_Marion	0.996	0.004
MA53_Marion	0.998	0.002
MA54_Marion	0.998	0.002
MA56_Marion	0.9913	0.0087
MA59_Marion	0.9383	0.0617
MA61_Marion	0.999	0.001
MA64_Marion	0.998	0.002
MA65_Marion	0.996	0.004
MA75_Marion	0.997	0.003
MA76_Marion	0.999	0.001
MA83_Marion	0.2212	0.7788
CI37_Crozet	0.1071	0.8929
CI42_Crozet	0.999	0.001
CI44_Crozet	0.999	0.001
CI51_Crozet	0.998	0.002
CI52_Crozet	0.997	0.003
CI55_Crozet	0.999	0.001
CI56_Crozet	0.999	0.001
CI57_Crozet	0.998	0.002
CI61_Crozet	0.999	0.001
CI62_Crozet	0.9959	0.0041
CI63_Crozet	0.999	0.001
CI64_Crozet	0.999	0.001
CI65_Crozet	0.998	0.002
CI66_Crozet	0.999	0.001
CI67_Crozet	0.998	0.002
CI69_Crozet	0.9982	0.0018
CI70_Crozet	0.999	0.001
CI72_Crozet	0.998	0.002
CI73_Crozet	0.9982	0.0018
CI75_Crozet	0.996	0.004
CI76_Crozet	0.999	0.001
CI77_Crozet	0.996	0.004
CI78_Crozet	0.999	0.001
CI79_Crozet	0.998	0.002
KI797_Kergu	0.1624	0.8376
MI1059_Macq	0.2551	0.7449
MI1456_Macq	0.357	0.643
MI1496_Macq	0.163	0.837
MI1504_Macq	0.19	0.81
MI1539_Macq	0.944	0.056
MI1584_Macq	0.2339	0.7661
MI1594_Macq	0.125	0.875
MI1644_Macq	0.1548	0.8452
MI1672_Macq	0.4126	0.5874
MI2247_Macq	0.326	0.674
MI2264_Macq	0.1168	0.8832
MI2268_Macq	0.2302	0.7698
MI1117_Trop	0.998	0.002
MI1118_Trop	0.999	0.001
MI1120_Trop	0.6717	0.3283
MI1122_Trop	0.999	0.001
MI1127_Trop	0.999	0.001
MI1171_Trop	0.9838	0.0162
MI1172_Trop	0.999	0.001
MI1511_Trop	0.999	0.001
MI1514_Trop	0.999	0.001
MI1520_Trop	0.999	0.001
MI1527_Trop	0.9191	0.0809
MI1528_Trop	0.9982	0.0018
MI1540_Trop	0.999	0.001
MI1541_Trop	0.998	0.002
MI1542A_Tro	0.996	0.004
MI1542B_Tro	0.998	0.002
MI1543_Trop	0.998	0.002
MI1544_Trop	0.999	0.001
MI1545_Trop	0.9401	0.0599
MI1546_Trop	0.999	0.001
MI1547_Trop	0.999	0.001
MI1549_Trop	0.999	0.001
MI1550_Trop	0.999	0.001
MI1551_Trop	0.999	0.001
MI1552_Trop	0.999	0.001
MI1553_Trop	0.999	0.001
MI1657_Trop	0.999	0.001
MI1658_Trop	0.999	0.001
MI1678_Trop	0.999	0.001
MI1689_Trop	0.997	0.003
MI1692_Trop	0.999	0.001
MI1695_Trop	0.999	0.001
MI1700_Trop	0.999	0.001
MI1701_Trop	0.999	0.001
MI1703_Trop	0.999	0.001
MI1704_Trop	0.998	0.002
MI1705_Trop	0.999	0.001
MI1706_Trop	0.972	0.028
MI1707_Trop	0.9559	0.0441
MI1709_Trop	0.999	0.001
MI1711_Trop	0.998	0.002
MI1986_Trop	0.999	0.001
MI1993_Trop	0.998	0.002
MI1998_Trop	0.999	0.001
MI2012_Trop	0.999	0.001
MI2014_Trop	0.998	0.002
MI2016_Trop	0.998	0.002
MI2017_Trop	0.999	0.001
MI2019_Trop	0.998	0.002
MI2024_Trop	0.999	0.001
MI2025_Trop	0.999	0.001
MI2035_Trop	0.99	0.01
MI2038_Trop	0.999	0.001
MI2040_Trop	0.999	0.001
MI2041_Trop	0.999	0.001
MI2351_Trop	0.7522	0.2478
MI2352_Trop	0.999	0.001
MI2362_Trop	0.999	0.001
MI2365_Trop	0.999	0.001
MI2366_Trop	0.999	0.001
MI2367_Trop	0.999	0.001
MI2368_Trop	0.999	0.001
MI2370_Trop	0.999	0.001
MI2372_Trop	0.9949	0.0051
MI2373_Trop	0.995	0.005
MI2374_Trop	0.999	0.001
MI2375_Trop	0.999	0.001
MI2376_Trop	0.998	0.002
MI2377_Trop	0.752	0.248
MI2380_Trop	0.999	0.001
MI2381_Trop	0.999	0.001
MI2382_Trop	0.999	0.001
MI2383_Trop	0.999	0.001
MI2387_Trop	0.998	0.002
MI2388_Trop	0.997	0.003
MI2390_Trop	0.998	0.002
MI2391_Trop	0.999	0.001
MI2392_Trop	0.998	0.002
MI2397_Trop	0.998	0.002
MI2398_Trop	0.8845	0.1155
MI2399_Trop	0.999	0.001
MI2401_Trop	0.995	0.005
MI2419_Trop	0.999	0.001
MI299_Tropi	0.999	0.001
MI351_Tropi	0.999	0.001
MI354_Tropi	0.997	0.003
MI357_Tropi	0.761	0.239
MI361_Tropi	0.999	0.001
MI362_Tropi	0.99	0.01
MI364_Tropi	0.999	0.001
MI372_Tropi	0.995	0.005
