sampleID	cluster1	cluster2
137524_Sout	0.001	0.999
137525_Sout	0.003	0.997
137526_Sout	0.011	0.989
137527_Sout	0.001	0.999
137528_Sout	0.0113	0.9887
137529_Sout	0.0055	0.9945
137530_Sout	0.001	0.999
137531_Sout	0.003	0.997
137532_Sout	0.002	0.998
137533_Sout	0.0049	0.9951
137534_Sout	0.001	0.999
137535_Sout	0.003	0.997
137536_Sout	0.001	0.999
137537_Sout	0.0028	0.9972
137538_Sout	0.001	0.999
137539_Sout	0.008	0.992
137540_Sout	0.007	0.993
137541_Sout	0.004	0.996
137542_Sout	0.003	0.997
137543_Sout	0.001	0.999
137544_Sout	0.005	0.995
137545_Sout	0.001	0.999
137546_Sout	0.002	0.998
137547_Sout	0.001	0.999
137548_Sout	0.001	0.999
137549_Sout	0.001	0.999
137550_Sout	0.006	0.994
137551_Sout	0.001	0.999
137552_Sout	0.001	0.999
137553_Sout	0.008	0.992
137554_Sout	0.001	0.999
137555_Sout	0.0109	0.9891
137556_Sout	0.002	0.998
137557_Sout	0.004	0.996
137558_Sout	0.001	0.999
137559_Sout	0.0412	0.9588
137560_Sout	0.001	0.999
137561_Sout	0.001	0.999
137562_Sout	0.001	0.999
137563_Sout	0.002	0.998
137564_Sout	0.001	0.999
137565_Sout	0.0038	0.9962
137566_Sout	0.001	0.999
137567_Sout	0.001	0.999
137568_Sout	0.002	0.998
137569_Sout	0.001	0.999
137570_Sout	0.002	0.998
137571_Sout	0.001	0.999
137572_Sout	0.002	0.998
137573_Sout	0.001	0.999
137574_Sout	0.001	0.999
137575_Sout	0.001	0.999
137576_Sout	0.001	0.999
137577_Sout	0.001	0.999
137578_Sout	0.0044	0.9956
137579_Sout	0.001	0.999
137580_Sout	0.0013	0.9987
137581_Sout	0.002	0.998
137582_Sout	0.0033	0.9967
137583_Sout	0.017	0.983
137584_Sout	0.001	0.999
137585_Sout	0.003	0.997
137586_Sout	0.001	0.999
137587_Sout	0.001	0.999
137588_Sout	0.002	0.998
137589_Sout	0.001	0.999
137590_Sout	0.002	0.998
137591_Sout	0.0011	0.9989
137592_Sout	0.001	0.999
137593_Sout	0.02	0.98
137594_Sout	0.0026	0.9974
137595_Sout	0.0216	0.9784
137596_Sout	0.001	0.999
137597_Sout	0.001	0.999
137598_Sout	0.001	0.999
137599_Sout	0.001	0.999
137600_Sout	0.001	0.999
137601_Sout	0.001	0.999
137603_Sout	0.002	0.998
137604_Sout	0.001	0.999
137605_Sout	0.002	0.998
137606_Sout	0.006	0.994
137607_Sout	0.001	0.999
137608_Sout	0.004	0.996
137609_Sout	0.0347	0.9653
137610_Sout	0.001	0.999
137611_Sout	0.001	0.999
137612_Sout	0.002	0.998
137613_Sout	0.002	0.998
137614_Sout	0.002	0.998
137616_Sout	0.001	0.999
137617_Sout	0.008	0.992
137618_Sout	0.0076	0.9924
137619_Sout	0.001	0.999
137620_Sout	0.001	0.999
137621_Sout	0.001	0.999
137622_Sout	0.0089	0.9911
137623_Sout	0.001	0.999
137624_Sout	0.001	0.999
137625_Sout	0.001	0.999
137626_Sout	0.002	0.998
137627_Sout	0.001	0.999
137628_Sout	0.002	0.998
137629_Sout	0.002	0.998
137630_Sout	0.001	0.999
137631_Sout	0.01	0.99
137632_Sout	0.004	0.996
137633_Sout	0.001	0.999
137634_Sout	0.002	0.998
137635_Sout	0.001	0.999
137636_Sout	0.001	0.999
137637_Sout	0.002	0.998
137638_Sout	0.001	0.999
137639_Sout	0.0029	0.9971
137640_Sout	0.002	0.998
137641_Sout	0.0027	0.9973
137642_Sout	0.001	0.999
137643_Sout	0.001	0.999
137644_Sout	0.001	0.999
137645_Sout	0.001	0.999
137646_Sout	0.001	0.999
137647_Sout	0.002	0.998
137648_Sout	0.001	0.999
137649_Sout	0.0015	0.9985
137650_Sout	0.001	0.999
137651_Sout	0.001	0.999
137652_Sout	0.0224	0.9776
137653_Sout	0.001	0.999
137654_Sout	0.001	0.999
137655_Sout	0.0075	0.9925
137656_Sout	0.005	0.995
137657_Sout	0.005	0.995
137658_Sout	0.001	0.999
137659_Sout	0.0906	0.9094
137660_Sout	0.005	0.995
137661_Sout	0.0102	0.9898
137662_Sout	0.001	0.999
137663_Sout	0.001	0.999
137664_Sout	0.001	0.999
137665_Sout	0.003	0.997
137666_Sout	0.019	0.981
137667_Sout	0.002	0.998
137668_Sout	0.0079	0.9921
137669_Sout	0.001	0.999
137670_Sout	0.0453	0.9547
137671_Sout	0.009	0.991
137672_Sout	0.032	0.968
137673_Sout	0.001	0.999
137674_Sout	0.001	0.999
137675_Sout	0.001	0.999
137676_Sout	0.003	0.997
137677_Sout	0.002	0.998
137678_Sout	0.0194	0.9806
137679_Sout	0.001	0.999
137680_Sout	0.007	0.993
137681_Sout	0.001	0.999
137682_Sout	0.0222	0.9778
137683_Sout	0.001	0.999
137684_Sout	0.002	0.998
137685_Sout	0.001	0.999
137686_Sout	0.0034	0.9966
137687_Sout	0.005	0.995
137688_Sout	0.0226	0.9774
137689_Sout	0.001	0.999
137690_Sout	0.0019	0.9981
137691_Sout	0.001	0.999
137692_Sout	0.0211	0.9789
137693_Sout	0.0035	0.9965
137694_Sout	0.001	0.999
137695_Sout	0.002	0.998
137696_Sout	0.001	0.999
137697_Sout	0.001	0.999
137698_Sout	0.002	0.998
137699_Sout	0.001	0.999
137700_Sout	0.001	0.999
137701_Sout	0.005	0.995
137702_Sout	0.002	0.998
137703_Sout	0.0016	0.9984
137704_Sout	0.002	0.998
137705_Sout	0.001	0.999
137706_Sout	0.001	0.999
137707_Sout	0.002	0.998
137708_Sout	0.0115	0.9885
137709_Sout	0.001	0.999
137710_Sout	0.001	0.999
137711_Sout	0.001	0.999
137712_Sout	0.001	0.999
137714_Sout	0.002	0.998
137715_Sout	0.002	0.998
137716_Sout	0.001	0.999
137717_Sout	0.001	0.999
137718_Sout	0.005	0.995
137719_Sout	0.001	0.999
137720_Sout	0.004	0.996
137721_Sout	0.0028	0.9972
137722_Sout	0.001	0.999
137723_Sout	0.001	0.999
001MRAGP97	0.001	0.999
002MRAGP97	0.001	0.999
003MRAGP97	0.037	0.963
004MRAGP97	0.001	0.999
10_Husvik	0.001	0.999
12_Prince_O	0.0014	0.9986
13_Prince_O	0.001	0.999
3_Husvik	0.001	0.999
4_Husvik	0.001	0.999
5_Husvik	0.001	0.999
53_Willis	0.001	0.999
55_Willis	0.001	0.999
57_Willis	0.001	0.999
58_Willis	0.001	0.999
59_Willis	0.001	0.999
6_Husvik	0.001	0.999
60_Willis	0.002	0.998
61_Willis	0.002	0.998
62_Willis	0.001	0.999
63_Willis	0.001	0.999
64_Willis	0.001	0.999
65_Willis	0.001	0.999
66_Willis	0.001	0.999
7_Husvik	0.001	0.999
AGP00025	0.001	0.999
AGP00132	0.001	0.999
AGP01083	0.001	0.999
AGP01096	0.002	0.998
AGP02025	0.001	0.999
AGP02029	0.001	0.999
AGP03027	0.001	0.999
